Status,Qtde Ocorrencias,Qtde Itens,Tempo Medio (dias),Tempo Mediano (dias),P85 (dias),P95 (dias)
Cancelled,58,58,258.2541,235.8363,485.0423,567.1903
To Do,11,11,69.1248,92.2126,92.2418,92.2418
Backlog,111,105,53.9086,2.6485,34.4529,535.8526
Ready to Homologation,6,6,27.7273,27.779,55.2684,55.2685
Done,5,5,19.3224,1.0052,38.7852,72.9982
Homologation,27,27,11.0312,10.1612,31.3402,32.7667
Production,23,23,9.795,0.0007,33.7831,33.7832
Ready to Analytics,14,14,9.1793,0.0538,12.4393,41.9914
Homolog,501,500,9.0267,2.8559,19.8579,45.9399
Ready for Staging,28,24,7.9548,6.3661,13.7256,24.0378
Ready to Design,1,1,6.9641,6.9641,6.9641,6.9641
Approval,11,11,5.6541,6.895,8.3737,10.312
In Progress,715,700,5.4874,2.0281,9.7197,17.309
QA Approved Hml,530,527,4.9982,1.7581,11.0122,23.8399
In Staging,71,60,4.9141,5.8608,6.9232,14.2631
Ready to Homolog,499,498,4.7324,1.5695,10.2789,18.8042
QA Approved,112,111,4.4168,5.2226,6.7252,8.6663
In Validation,41,41,4.0664,0.9415,9.5965,12.9874
Tech Review,1,1,3.8647,3.8647,3.8647,3.8647
Ready To Staging,702,656,3.4951,0.0005,5.8908,20.1616
READY FOR TESTING/QA,16,16,3.4153,0.7371,9.1291,9.1292
In Development,132,130,2.915,0.2053,3.0253,7.9551
Staging,746,714,2.6654,0.9819,5.3502,10.2724
In Backlog,1,1,2.0931,2.0931,2.0931,2.0931
in analytics,137,136,1.8451,0.0004,1.9741,5.3959
READY FOR DEVELOPMENT,26,25,1.6308,0.0001,5.1997,6.9107
Ready for Production,739,735,1.4595,0.4805,3.9263,7.7486
QA Approved Staging,578,576,1.3222,0.5209,2.9406,4.8719
In Progess,18,17,1.1517,0.0002,3.2263,5.3422
CODE REVIEW,17,16,0.6325,0.0001,1.4066,3.3577
Triagem,3,3,0.3727,0.1917,0.706,0.853
ready for homolog,12,12,0.2114,0.2114,0.2114,0.2114
Prioritized,12,12,0.0032,0.0032,0.0032,0.0032
Ready for code review,18,17,0.0002,0.0,0.0003,0.0008
Testing / QA,6,6,0.0,0.0,0.0001,0.0001
Ready for build,1,1,0.0,0.0,0.0,0.0
