Issue Key,Tipo de Problema,Rework Score,Reopen Count,Backward Moves,QA Returns,Revisitas Status,Conformance Score,Conforme Basico,Lead Time Fluxo (dias),Done Final Author,Done Final Date,Variant
W1NNR-2050,Tarefa,6,0,0,0,6,0.0,Nao,6.9658,Sem Autor,,READY FOR DEVELOPMENT > In Progess > Ready for code review > CODE REVIEW > In Progess > Ready for code review > CODE REVIEW > In Progess > Ready for code review > CODE REVIEW
W1NNR-228,Tarefa,4,1,1,0,2,0.4286,Nao,23.8007,Lorraine Caribe,2024-11-07 13:37:29,In Progress > Ready To Staging > In Staging > Ready for Production > Done > Ready for Production > Done
W1NNR-506,Tarefa,4,0,1,0,3,0.4667,Nao,182.0325,Lara Junqueira Alvarenga,2025-07-21 14:50:24,Backlog > In Progress > Ready To Staging > Ready to Homologation > Ready to Analytics > Backlog > In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-507,Tarefa,4,0,1,0,3,0.4667,Nao,190.5358,Thaís Cabral,2025-07-30 02:55:15,Backlog > In Progress > Ready To Staging > Ready to Homologation > Ready to Analytics > Backlog > In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-508,Tarefa,4,0,1,0,3,0.4667,Nao,206.6313,Lorraine Caribe,2025-08-15 05:12:45,Backlog > In Progress > Ready To Staging > Ready to Homologation > Ready to Analytics > Backlog > In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-1308,Tarefa,4,0,0,1,3,0.5,Nao,4.9517,Lorraine Caribe,2025-08-18 20:16:02,In Progress > Ready to Homolog > Homolog > In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-664,Tarefa,4,0,0,0,4,0.5938,Nao,145.7299,Thaís Cabral,2025-08-14 12:57:38,In Progress > Ready To Staging > Staging > Homologation > QA Approved Hml > Ready to Analytics > Backlog > In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-841,Tarefa,4,0,0,0,4,0.6923,Nao,40.8725,Thaís Cabral,2025-05-27 15:41:14,In Progress > Backlog > In Progress > Backlog > In Progress > Staging > Homologation > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-1073,Problema,3,1,1,0,1,0.0,Nao,2.045,Lorraine Caribe,2025-07-04 22:53:26,Done > QA Approved Staging > Done
W1NNR-1479,Problema,3,1,1,0,1,0.1667,Nao,6.0064,Lara Junqueira Alvarenga,2025-09-24 14:41:48,in analytics > In Development > Done > QA Approved Staging > Ready for Production > Done
