From,To,Count,PerfSeconds,PerfHours
Backlog,Triagem,10,27724635.481300004,7701.2876336944455
Homolog,Done,1,23573676.358,6548.243432777777
Cancelled,Done,97,13342072.238556702,3706.1311773768616
In Progress,Done,2,12081954.016,3356.098337777778
In Development,Backlog,1,10293851.946,2859.4033183333336
Staging,in analytics,1,8995376.128,2498.7155911111113
To Do,Ready to Analytics,2,7969689.2995,2213.802583194444
To Do,Backlog,5,7951269.0556,2208.6858487777777
Done,Backlog,1,7785043.006,2162.5119461111112
In Development,Ready to Homolog,1,6737375.112,1871.4930866666666
Ready To Staging,Ready to Homologation,6,4795235.084333333,1332.009745648148
Ready to Homologation,Ready to Analytics,3,4775160.568666667,1326.4334912962963
In Progress,Ready for Production,3,3908356.049,1085.6544580555556
Backlog,Cancelled,12,3530034.8825,980.5652451388888
QA Approved Hml,Ready to Analytics,3,3047818.546666667,846.616262962963
Production,in analytics,1,2918862.228,810.7950633333334
In Validation,Ready for Production,2,2594598.335,720.7217597222223
in analytics,Backlog,2,2556669.1055,710.1858626388889
In Progress,In Staging,6,1844414.6958333335,512.3374155092594
Ready To Staging,In Staging,27,1832707.3555185185,509.0853765329218
Ready for Staging,In Progress,1,1622913.41,450.8092805555555
Triagem,Cancelled,38,1277746.7618157894,354.9296560599415
In Progress,Production,5,1198341.636,332.8726766666667
Ready for Production,Staging,1,1166809.955,324.1138763888889
Staging,Homologation,17,1116509.9807058822,310.1416613071895
Ready To Staging,Ready for Production,3,1073527.2156666666,298.2020043518518
Ready to Homolog,READY FOR TESTING/QA,5,959384.7188000001,266.4957552222223
Homologation,QA Approved Hml,27,953099.5265185186,264.74986847736625
Backlog,In Progress,56,921517.2341071429,255.97700947420637
Staging,QA Approved,103,827559.437407767,229.87762150215752
Ready for Staging,Ready for Staging,2,822488.477,228.46902138888888
Staging,Homolog,1,784520.012,217.92222555555554
Production,Done,22,752075.9893181819,208.9099970328283
Homolog,QA Approved Hml,495,738349.9921777778,205.0972200493827
