Issue Key,TraceIsFit,TraceFitness,MissingTokens,RemainingTokens,ConsumedTokens,ProducedTokens
W1NNR-1003,True,1.0,0,0,79,79
W1NNR-1004,True,1.0,0,0,80,80
W1NNR-1007,True,1.0,0,0,76,76
W1NNR-1008,True,1.0,0,0,82,82
W1NNR-1009,True,1.0,0,0,82,82
W1NNR-1014,True,1.0,0,0,79,79
W1NNR-1015,True,1.0,0,0,79,79
W1NNR-1017,True,1.0,0,0,82,82
W1NNR-1018,True,1.0,0,0,79,79
W1NNR-1019,True,1.0,0,0,79,79
W1NNR-1020,True,1.0,0,0,79,79
W1NNR-1021,True,1.0,0,0,79,79
W1NNR-1022,True,1.0,0,0,79,79
W1NNR-1023,True,1.0,0,0,79,79
W1NNR-1024,True,1.0,0,0,79,79
W1NNR-1025,True,1.0,0,0,79,79
W1NNR-1026,True,1.0,0,0,79,79
W1NNR-1027,True,1.0,0,0,79,79
W1NNR-1028,True,1.0,0,0,79,79
W1NNR-1029,True,1.0,0,0,79,79
W1NNR-1030,True,1.0,0,0,79,79
W1NNR-1031,True,1.0,0,0,53,53
W1NNR-1032,True,1.0,0,0,79,79
W1NNR-1033,True,1.0,0,0,79,79
W1NNR-1036,True,1.0,0,0,79,79
W1NNR-1040,True,1.0,0,0,81,81
W1NNR-1041,True,1.0,0,0,81,81
W1NNR-1043,True,1.0,0,0,53,53
W1NNR-1045,True,1.0,0,0,82,82
W1NNR-1046,True,1.0,0,0,82,82
W1NNR-105,True,1.0,0,0,44,44
W1NNR-1051,True,1.0,0,0,78,78
W1NNR-1055,True,1.0,0,0,79,79
W1NNR-1058,True,1.0,0,0,79,79
W1NNR-106,True,1.0,0,0,55,55
W1NNR-1061,True,1.0,0,0,79,79
W1NNR-1062,True,1.0,0,0,79,79
W1NNR-1064,True,1.0,0,0,16,16
W1NNR-1065,True,1.0,0,0,79,79
W1NNR-1066,True,1.0,0,0,79,79
W1NNR-1067,True,1.0,0,0,79,79
W1NNR-1068,True,1.0,0,0,55,55
W1NNR-1069,True,1.0,0,0,79,79
W1NNR-107,True,1.0,0,0,53,53
W1NNR-1070,True,1.0,0,0,79,79
W1NNR-1071,True,1.0,0,0,81,81
W1NNR-1072,True,1.0,0,0,81,81
W1NNR-1073,True,1.0,0,0,41,41
W1NNR-1074,True,1.0,0,0,81,81
W1NNR-1076,True,1.0,0,0,79,79
W1NNR-1077,True,1.0,0,0,79,79
W1NNR-1079,True,1.0,0,0,79,79
W1NNR-108,True,1.0,0,0,44,44
W1NNR-1080,True,1.0,0,0,79,79
W1NNR-1081,True,1.0,0,0,53,53
W1NNR-1082,True,1.0,0,0,75,75
W1NNR-1083,True,1.0,0,0,82,82
W1NNR-1085,True,1.0,0,0,79,79
W1NNR-1087,True,1.0,0,0,82,82
W1NNR-109,True,1.0,0,0,56,56
W1NNR-1090,True,1.0,0,0,80,80
W1NNR-1093,True,1.0,0,0,79,79
W1NNR-110,True,1.0,0,0,56,56
W1NNR-1102,True,1.0,0,0,96,96
W1NNR-1109,True,1.0,0,0,82,82
W1NNR-1110,True,1.0,0,0,79,79
W1NNR-1111,True,1.0,0,0,81,81
W1NNR-1117,True,1.0,0,0,79,79
W1NNR-1118,True,1.0,0,0,79,79
W1NNR-1119,True,1.0,0,0,79,79
W1NNR-1120,True,1.0,0,0,79,79
W1NNR-1121,True,1.0,0,0,79,79
W1NNR-1122,True,1.0,0,0,79,79
W1NNR-1123,True,1.0,0,0,79,79
W1NNR-1124,True,1.0,0,0,79,79
W1NNR-1125,True,1.0,0,0,79,79
W1NNR-1126,True,1.0,0,0,79,79
W1NNR-1127,True,1.0,0,0,79,79
W1NNR-1128,True,1.0,0,0,79,79
W1NNR-1129,True,1.0,0,0,79,79
W1NNR-1133,True,1.0,0,0,79,79
W1NNR-1134,True,1.0,0,0,79,79
W1NNR-1149,True,1.0,0,0,79,79
W1NNR-1150,True,1.0,0,0,79,79
W1NNR-1151,True,1.0,0,0,79,79
W1NNR-1155,True,1.0,0,0,82,82
W1NNR-1156,True,1.0,0,0,79,79
W1NNR-1157,True,1.0,0,0,79,79
W1NNR-1162,True,1.0,0,0,79,79
W1NNR-1163,True,1.0,0,0,79,79
W1NNR-1166,True,1.0,0,0,79,79
W1NNR-1167,True,1.0,0,0,79,79
W1NNR-1168,True,1.0,0,0,76,76
W1NNR-1169,True,1.0,0,0,79,79
W1NNR-1170,True,1.0,0,0,79,79
W1NNR-1171,True,1.0,0,0,79,79
W1NNR-1188,True,1.0,0,0,79,79
W1NNR-1189,True,1.0,0,0,79,79
W1NNR-1191,True,1.0,0,0,81,81
W1NNR-1192,True,1.0,0,0,79,79
W1NNR-1193,True,1.0,0,0,79,79
W1NNR-1194,True,1.0,0,0,79,79
W1NNR-1195,True,1.0,0,0,79,79
W1NNR-1199,True,1.0,0,0,79,79
W1NNR-12,True,1.0,0,0,55,55
W1NNR-1200,True,1.0,0,0,82,82
W1NNR-1201,True,1.0,0,0,82,82
W1NNR-1202,True,1.0,0,0,79,79
W1NNR-1208,True,1.0,0,0,82,82
W1NNR-1209,True,1.0,0,0,79,79
W1NNR-121,True,1.0,0,0,76,76
W1NNR-1214,True,1.0,0,0,79,79
W1NNR-1215,True,1.0,0,0,79,79
W1NNR-1226,True,1.0,0,0,82,82
W1NNR-1230,True,1.0,0,0,69,69
W1NNR-1231,True,1.0,0,0,79,79
W1NNR-1238,True,1.0,0,0,79,79
W1NNR-1239,True,1.0,0,0,79,79
W1NNR-124,True,1.0,0,0,76,76
W1NNR-1240,True,1.0,0,0,79,79
W1NNR-1241,True,1.0,0,0,53,53
W1NNR-1242,True,1.0,0,0,79,79
W1NNR-1246,True,1.0,0,0,79,79
W1NNR-1247,True,1.0,0,0,53,53
W1NNR-1248,True,1.0,0,0,79,79
W1NNR-1253,True,1.0,0,0,79,79
W1NNR-1254,True,1.0,0,0,79,79
W1NNR-1260,True,1.0,0,0,79,79
W1NNR-1262,True,1.0,0,0,79,79
W1NNR-1263,True,1.0,0,0,79,79
W1NNR-1264,True,1.0,0,0,79,79
W1NNR-1265,True,1.0,0,0,79,79
W1NNR-1266,True,1.0,0,0,79,79
W1NNR-1267,True,1.0,0,0,79,79
W1NNR-1268,True,1.0,0,0,79,79
W1NNR-1269,True,1.0,0,0,79,79
W1NNR-127,True,1.0,0,0,76,76
W1NNR-1270,True,1.0,0,0,79,79
W1NNR-1271,True,1.0,0,0,79,79
W1NNR-1272,True,1.0,0,0,79,79
W1NNR-1273,True,1.0,0,0,79,79
W1NNR-1274,True,1.0,0,0,79,79
W1NNR-1277,True,1.0,0,0,79,79
W1NNR-1279,True,1.0,0,0,79,79
W1NNR-1282,True,1.0,0,0,53,53
W1NNR-1284,True,1.0,0,0,79,79
W1NNR-1285,True,1.0,0,0,82,82
W1NNR-1286,True,1.0,0,0,82,82
W1NNR-1294,True,1.0,0,0,80,80
W1NNR-1295,True,1.0,0,0,80,80
W1NNR-1296,True,1.0,0,0,80,80
W1NNR-1297,True,1.0,0,0,80,80
W1NNR-1299,True,1.0,0,0,80,80
W1NNR-13,True,1.0,0,0,60,60
W1NNR-1303,True,1.0,0,0,82,82
W1NNR-1305,True,1.0,0,0,82,82
W1NNR-1307,True,1.0,0,0,82,82
W1NNR-1308,True,1.0,0,0,85,85
W1NNR-1312,True,1.0,0,0,79,79
W1NNR-1313,True,1.0,0,0,79,79
W1NNR-1314,True,1.0,0,0,79,79
W1NNR-1325,True,1.0,0,0,79,79
W1NNR-1326,True,1.0,0,0,79,79
W1NNR-1327,True,1.0,0,0,79,79
W1NNR-1328,True,1.0,0,0,79,79
W1NNR-1329,True,1.0,0,0,79,79
W1NNR-1333,True,1.0,0,0,79,79
W1NNR-1335,True,1.0,0,0,82,82
W1NNR-1337,True,1.0,0,0,82,82
W1NNR-1338,True,1.0,0,0,79,79
W1NNR-1339,True,1.0,0,0,79,79
W1NNR-1340,True,1.0,0,0,79,79
W1NNR-1341,True,1.0,0,0,79,79
W1NNR-1345,True,1.0,0,0,79,79
W1NNR-1346,True,1.0,0,0,79,79
W1NNR-1347,True,1.0,0,0,79,79
W1NNR-1351,True,1.0,0,0,79,79
W1NNR-1352,True,1.0,0,0,79,79
W1NNR-1353,True,1.0,0,0,82,82
W1NNR-1356,True,1.0,0,0,79,79
W1NNR-1357,True,1.0,0,0,79,79
W1NNR-1359,True,1.0,0,0,79,79
W1NNR-1360,True,1.0,0,0,79,79
W1NNR-1361,True,1.0,0,0,82,82
W1NNR-1362,True,1.0,0,0,79,79
W1NNR-1363,True,1.0,0,0,82,82
W1NNR-1364,True,1.0,0,0,79,79
W1NNR-1366,True,1.0,0,0,79,79
W1NNR-1367,True,1.0,0,0,82,82
W1NNR-1368,True,1.0,0,0,82,82
W1NNR-1369,True,1.0,0,0,82,82
W1NNR-1371,True,1.0,0,0,82,82
W1NNR-1372,True,1.0,0,0,79,79
W1NNR-1373,True,1.0,0,0,82,82
W1NNR-1374,True,1.0,0,0,79,79
W1NNR-1375,True,1.0,0,0,79,79
W1NNR-1390,True,1.0,0,0,79,79
W1NNR-1391,True,1.0,0,0,79,79
W1NNR-1396,True,1.0,0,0,80,80
W1NNR-14,True,1.0,0,0,58,58
W1NNR-1400,True,1.0,0,0,79,79
W1NNR-1401,True,1.0,0,0,79,79
W1NNR-1402,True,1.0,0,0,79,79
W1NNR-1403,True,1.0,0,0,79,79
W1NNR-1404,True,1.0,0,0,79,79
W1NNR-1406,True,1.0,0,0,76,76
W1NNR-1407,True,1.0,0,0,79,79
W1NNR-1408,True,1.0,0,0,78,78
W1NNR-1410,True,1.0,0,0,79,79
W1NNR-1412,True,1.0,0,0,79,79
W1NNR-1414,True,1.0,0,0,79,79
W1NNR-1415,True,1.0,0,0,79,79
W1NNR-1417,True,1.0,0,0,79,79
W1NNR-1418,True,1.0,0,0,53,53
W1NNR-1419,True,1.0,0,0,53,53
W1NNR-1424,True,1.0,0,0,79,79
W1NNR-1431,True,1.0,0,0,82,82
W1NNR-1433,True,1.0,0,0,79,79
W1NNR-1434,True,1.0,0,0,79,79
W1NNR-1436,True,1.0,0,0,53,53
W1NNR-1437,True,1.0,0,0,79,79
W1NNR-1438,True,1.0,0,0,79,79
W1NNR-1446,True,1.0,0,0,79,79
W1NNR-1461,True,1.0,0,0,53,53
W1NNR-1462,True,1.0,0,0,79,79
W1NNR-1465,True,1.0,0,0,82,82
W1NNR-1472,True,1.0,0,0,82,82
W1NNR-1473,True,1.0,0,0,82,82
W1NNR-1479,True,1.0,0,0,82,82
W1NNR-1499,True,1.0,0,0,94,94
W1NNR-15,True,1.0,0,0,58,58
W1NNR-1500,True,1.0,0,0,78,78
W1NNR-1508,True,1.0,0,0,82,82
W1NNR-1509,True,1.0,0,0,82,82
W1NNR-1511,True,1.0,0,0,82,82
W1NNR-1514,True,1.0,0,0,79,79
W1NNR-1515,True,1.0,0,0,79,79
W1NNR-1516,True,1.0,0,0,77,77
W1NNR-1517,True,1.0,0,0,79,79
W1NNR-1518,True,1.0,0,0,77,77
W1NNR-1522,True,1.0,0,0,82,82
W1NNR-1546,True,1.0,0,0,53,53
W1NNR-1550,True,1.0,0,0,77,77
W1NNR-1552,True,1.0,0,0,82,82
W1NNR-1555,True,1.0,0,0,79,79
W1NNR-1556,True,1.0,0,0,79,79
W1NNR-1557,True,1.0,0,0,79,79
W1NNR-1558,True,1.0,0,0,79,79
W1NNR-1559,True,1.0,0,0,79,79
W1NNR-1560,True,1.0,0,0,79,79
W1NNR-1561,True,1.0,0,0,79,79
W1NNR-1562,True,1.0,0,0,79,79
W1NNR-1563,True,1.0,0,0,79,79
W1NNR-1564,True,1.0,0,0,79,79
W1NNR-1565,True,1.0,0,0,79,79
W1NNR-1566,True,1.0,0,0,79,79
W1NNR-1567,True,1.0,0,0,79,79
W1NNR-1568,True,1.0,0,0,79,79
W1NNR-1569,True,1.0,0,0,79,79
W1NNR-1570,True,1.0,0,0,79,79
W1NNR-1571,True,1.0,0,0,79,79
W1NNR-1572,True,1.0,0,0,79,79
W1NNR-1573,True,1.0,0,0,79,79
W1NNR-1574,True,1.0,0,0,79,79
W1NNR-1575,True,1.0,0,0,79,79
W1NNR-1576,True,1.0,0,0,79,79
W1NNR-1577,True,1.0,0,0,79,79
W1NNR-1578,True,1.0,0,0,79,79
W1NNR-1579,True,1.0,0,0,79,79
W1NNR-1580,True,1.0,0,0,79,79
W1NNR-1581,True,1.0,0,0,79,79
W1NNR-1582,True,1.0,0,0,79,79
W1NNR-1583,True,1.0,0,0,79,79
W1NNR-1584,True,1.0,0,0,79,79
W1NNR-1585,True,1.0,0,0,79,79
W1NNR-1586,True,1.0,0,0,79,79
W1NNR-1587,True,1.0,0,0,79,79
W1NNR-1588,True,1.0,0,0,79,79
W1NNR-1589,True,1.0,0,0,79,79
W1NNR-1590,True,1.0,0,0,79,79
W1NNR-1591,True,1.0,0,0,79,79
W1NNR-1592,True,1.0,0,0,79,79
W1NNR-1593,True,1.0,0,0,79,79
W1NNR-1594,True,1.0,0,0,79,79
W1NNR-1595,True,1.0,0,0,79,79
W1NNR-1596,True,1.0,0,0,79,79
W1NNR-1597,True,1.0,0,0,79,79
W1NNR-1599,True,1.0,0,0,79,79
W1NNR-1600,True,1.0,0,0,79,79
W1NNR-1601,True,1.0,0,0,79,79
W1NNR-1602,True,1.0,0,0,79,79
W1NNR-1603,True,1.0,0,0,79,79
W1NNR-1604,True,1.0,0,0,79,79
W1NNR-1605,True,1.0,0,0,79,79
W1NNR-1606,True,1.0,0,0,79,79
W1NNR-1607,True,1.0,0,0,79,79
W1NNR-1608,True,1.0,0,0,79,79
W1NNR-1609,True,1.0,0,0,79,79
W1NNR-1610,True,1.0,0,0,79,79
W1NNR-1611,True,1.0,0,0,79,79
W1NNR-1612,True,1.0,0,0,79,79
W1NNR-1613,True,1.0,0,0,79,79
W1NNR-1614,True,1.0,0,0,79,79
W1NNR-1617,True,1.0,0,0,79,79
W1NNR-1630,True,1.0,0,0,77,77
W1NNR-1633,True,1.0,0,0,77,77
W1NNR-1634,True,1.0,0,0,77,77
W1NNR-1639,True,1.0,0,0,77,77
W1NNR-1640,True,1.0,0,0,53,53
W1NNR-1641,True,1.0,0,0,77,77
W1NNR-1642,True,1.0,0,0,79,79
W1NNR-1643,True,1.0,0,0,79,79
W1NNR-1644,True,1.0,0,0,79,79
W1NNR-1645,True,1.0,0,0,79,79
W1NNR-1646,True,1.0,0,0,79,79
W1NNR-1647,True,1.0,0,0,79,79
W1NNR-1648,True,1.0,0,0,79,79
W1NNR-1649,True,1.0,0,0,79,79
W1NNR-1650,True,1.0,0,0,79,79
W1NNR-1651,True,1.0,0,0,79,79
W1NNR-1652,True,1.0,0,0,79,79
W1NNR-1653,True,1.0,0,0,77,77
W1NNR-1654,True,1.0,0,0,77,77
W1NNR-1655,True,1.0,0,0,77,77
W1NNR-1656,True,1.0,0,0,77,77
W1NNR-1657,True,1.0,0,0,77,77
W1NNR-1658,True,1.0,0,0,77,77
W1NNR-1659,True,1.0,0,0,77,77
W1NNR-1660,True,1.0,0,0,77,77
W1NNR-1661,True,1.0,0,0,77,77
W1NNR-1662,True,1.0,0,0,77,77
W1NNR-1663,True,1.0,0,0,77,77
W1NNR-1664,True,1.0,0,0,79,79
W1NNR-1665,True,1.0,0,0,79,79
W1NNR-1666,True,1.0,0,0,79,79
W1NNR-1667,True,1.0,0,0,79,79
W1NNR-1668,True,1.0,0,0,79,79
W1NNR-1669,True,1.0,0,0,79,79
W1NNR-1670,True,1.0,0,0,79,79
W1NNR-1671,True,1.0,0,0,79,79
W1NNR-1672,True,1.0,0,0,79,79
W1NNR-1673,True,1.0,0,0,79,79
W1NNR-1674,True,1.0,0,0,79,79
W1NNR-1675,True,1.0,0,0,77,77
W1NNR-1676,True,1.0,0,0,77,77
W1NNR-168,True,1.0,0,0,41,41
W1NNR-1684,True,1.0,0,0,79,79
W1NNR-1685,True,1.0,0,0,79,79
W1NNR-1689,True,1.0,0,0,80,80
W1NNR-1693,True,1.0,0,0,82,82
W1NNR-1697,True,1.0,0,0,78,78
W1NNR-1698,True,1.0,0,0,78,78
W1NNR-1703,True,1.0,0,0,79,79
W1NNR-1707,True,1.0,0,0,77,77
W1NNR-1714,True,1.0,0,0,79,79
W1NNR-1715,True,1.0,0,0,79,79
W1NNR-1716,True,1.0,0,0,55,55
W1NNR-1717,True,1.0,0,0,53,53
W1NNR-1718,True,1.0,0,0,79,79
W1NNR-1719,True,1.0,0,0,55,55
W1NNR-1720,True,1.0,0,0,79,79
W1NNR-1721,True,1.0,0,0,79,79
W1NNR-1722,True,1.0,0,0,53,53
W1NNR-1723,True,1.0,0,0,79,79
W1NNR-1724,True,1.0,0,0,79,79
W1NNR-1725,True,1.0,0,0,79,79
W1NNR-1727,True,1.0,0,0,79,79
W1NNR-1728,True,1.0,0,0,79,79
W1NNR-1729,True,1.0,0,0,69,69
W1NNR-173,True,1.0,0,0,30,30
W1NNR-1730,True,1.0,0,0,79,79
W1NNR-1738,True,1.0,0,0,77,77
W1NNR-174,True,1.0,0,0,30,30
W1NNR-1740,True,1.0,0,0,77,77
W1NNR-1743,True,1.0,0,0,77,77
W1NNR-1745,True,1.0,0,0,82,82
W1NNR-1749,True,1.0,0,0,79,79
W1NNR-175,True,1.0,0,0,30,30
W1NNR-1750,True,1.0,0,0,79,79
W1NNR-1751,True,1.0,0,0,79,79
W1NNR-1753,True,1.0,0,0,79,79
W1NNR-1754,True,1.0,0,0,79,79
W1NNR-1755,True,1.0,0,0,79,79
W1NNR-1756,True,1.0,0,0,79,79
W1NNR-1757,True,1.0,0,0,79,79
W1NNR-1759,True,1.0,0,0,79,79
W1NNR-1760,True,1.0,0,0,79,79
W1NNR-1761,True,1.0,0,0,77,77
W1NNR-1764,True,1.0,0,0,82,82
W1NNR-1767,True,1.0,0,0,79,79
W1NNR-1768,True,1.0,0,0,53,53
W1NNR-177,True,1.0,0,0,30,30
W1NNR-1771,True,1.0,0,0,79,79
W1NNR-1777,True,1.0,0,0,82,82
W1NNR-1778,True,1.0,0,0,79,79
