Variant,Qtde Casos,Conformance Score Medio,Rework Score Medio,Pct Casos
In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done,427,0.6667000000000001,0.0,41.256038647343
in analytics > In Development > Staging > QA Approved Staging > Ready for Production > Done,46,0.5,0.0,4.444444444444445
In Progress > Ready To Staging > Staging > QA Approved > Ready for Production > Done,39,0.5833,0.0,3.768115942028986
Cancelled > Done,36,0.5,0.0,3.4782608695652173
Triagem > Cancelled > Done,34,0.3333,0.0,3.2850241545893724
In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Done,26,0.5625,0.0,2.5120772946859904
Backlog > In Progress > Ready To Staging > Staging > QA Approved > Ready for Production > Done,22,0.5,0.0,2.1256038647342996
Backlog > READY FOR DEVELOPMENT > In Progess > Ready for code review > CODE REVIEW > READY FOR TESTING/QA > Testing / QA > Ready To Staging > Staging > Ready for Production > Done,15,0.2727,0.0,1.4492753623188406
in analytics > In Development > In Staging > Ready for Production > Done,15,0.5,0.0,1.4492753623188406
In Progress > Ready To Staging > In Staging > Ready for Production > Done,13,0.8,0.0,1.2560386473429952
in analytics > In Development > In Validation > Done,12,0.25,0.0,1.1594202898550725
In Progress > Ready To Staging > In Staging > Prioritized > Backlog > In Staging > Ready for Production > Done,11,0.625,1.0,1.0628019323671498
In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > ready for homolog > Ready To Staging > Staging > Ready for Production > Done,11,0.6,1.0,1.0628019323671498
Backlog > In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done,9,0.6,0.0,0.8695652173913043
READY FOR DEVELOPMENT > In Progess > Ready for code review > CODE REVIEW > READY FOR TESTING/QA > Testing / QA > Ready To Staging > Staging > Ready for Production > Done,9,0.3,0.0,0.8695652173913043
in analytics > In Development > Staging > QA Approved > Ready for Production > Done,9,0.3333,0.0,0.8695652173913043
Backlog > READY FOR DEVELOPMENT > In Progess > Ready for code review > CODE REVIEW > READY FOR TESTING/QA > Testing / QA,8,0.0,0.0,0.7729468599033816
Done,8,1.0,0.0,0.7729468599033816
In Progress > Ready for Staging > Staging > In Staging > Ready for Production > Done,8,0.5833,0.0,0.7729468599033816
in analytics > In Development > In Validation > QA Approved Staging > Ready for Production > Done,8,0.5,0.0,0.7729468599033816
Backlog > In Progress > Ready To Staging > Homologation > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Done,7,0.5,2.0,0.6763285024154589
In Progress > Ready for Staging > Staging > Ready for Production > Production > Done,7,0.5,0.0,0.6763285024154589
In Progress > Ready To Staging > Done,6,0.6667,0.0,0.5797101449275363
In Progress > Ready To Staging > Staging > QA Approved > Done,6,0.5,0.0,0.5797101449275363
In Progress > Ready To Staging > Staging > Ready for Production > Done,6,0.6999999999999998,0.0,0.5797101449275363
