ID,Titulo,Projeto,Team,Prioridade,EffortTShirtSize,Tipo,Status,ParentID,ParentTipo,Link,UpdatedAt,StatusChangedAt,DueDate
BT-219,Open Finance Transaction ID,BT,TECH S1NC,Medium,,Feature,READY FOR DEVELOPMENT,,,https://w1consultoria.atlassian.net/browse/BT-219,2026-03-03T16:25:02.198-0300,2026-02-20T19:01:13.695-0300,
BT-212,Framework de Migração de Conectores (Scraping → Open Finance),BT,TECH S1NC,High,,Feature,READY FOR DEVELOPMENT,,,https://w1consultoria.atlassian.net/browse/BT-212,2026-03-03T16:24:59.716-0300,2026-02-10T11:29:44.613-0300,
BT-211,Teste Hist,BT,,Medium,,História,Triagem,,,https://w1consultoria.atlassian.net/browse/BT-211,2026-03-02T20:37:55.958-0300,2026-03-02T20:37:55.765-0300,
BT-210,Card de teste,BT,,Medium,,História,Triagem,,,https://w1consultoria.atlassian.net/browse/BT-210,2026-03-02T17:16:45.406-0300,2026-03-02T17:12:13.307-0300,
BT-209,Corrigir regras para Liberação S1NC para Consultores,BT,,High,,Support,Triagem,,,https://w1consultoria.atlassian.net/browse/BT-209,2026-03-02T15:43:30.949-0300,2026-03-02T15:42:57.929-0300,
BT-208,Corrigir regras para Liberação S1NC para Consultores,BT,TECH S1NC,High,,Support,Triagem,,,https://w1consultoria.atlassian.net/browse/BT-208,2026-03-02T15:40:01.970-0300,2026-03-02T15:38:57.079-0300,
BT-205,BeFinance - Diagnóstico de Maturidade da empresa,BT,TECH BEFINANCE,Medium,M,Feature,In Progess,,,https://w1consultoria.atlassian.net/browse/BT-205,2026-03-03T14:46:23.648-0300,2026-03-03T14:46:23.649-0300,
BT-204,W1NNR - Funil de Contratos,BT,Squad | W1nner,High,,Feature,Cancelled,,,https://w1consultoria.atlassian.net/browse/BT-204,2026-02-27T10:23:05.269-0300,2026-02-09T13:46:26.002-0300,
BT-203,D&A - Apuração equity 2025 de todas BUs,BT,TECH DATA,Medium,M,Feature,Backlog,,,https://w1consultoria.atlassian.net/browse/BT-203,2026-02-27T10:23:04.788-0300,2026-02-09T15:40:49.163-0300,
BT-202,W1NNR - Funil de Contato - melhorias de UX,BT,TECH W1NNER,Medium,,Feature,Concluído,,,https://w1consultoria.atlassian.net/browse/BT-202,2026-03-04T12:20:51.067-0300,2026-02-10T14:20:28.550-0300,2026-02-06
BT-201,D&A - Melhorias Dash Comissões Repassadas,BT,TECH DATA,Medium,M,Feature,Backlog,,,https://w1consultoria.atlassian.net/browse/BT-201,2026-02-27T10:23:03.620-0300,2026-02-09T15:40:31.562-0300,
BT-200,D&A - Revisão automação de pesquisas de NPS da Binds,BT,TECH DATA,Medium,M,Feature,Backlog,,,https://w1consultoria.atlassian.net/browse/BT-200,2026-02-27T10:23:03.087-0300,2026-02-09T15:41:27.709-0300,
BT-199,D&A - Desenvolvimento de bases e segmentações para o Marketing e Eventos,BT,TECH DATA,Medium,M,Feature,Backlog,,,https://w1consultoria.atlassian.net/browse/BT-199,2026-02-27T10:23:02.553-0300,2026-02-09T15:41:09.133-0300,
