uuid,build_number,state,created_on,completed_on,ref_name,commit_hash
{020e55fd-d55d-46e1-bda0-4b2df20d036a},1,COMPLETED,2020-01-08T20:32:18.116Z,2020-01-08T20:32:57.369Z,master,714c32d21fa5f34f3188c1b7d0e327b16326ee31
{1c76763a-bbe0-4431-9ac0-67c3c79e3b60},2,COMPLETED,2020-01-08T21:03:08.936Z,2020-01-08T21:07:21.67Z,master,c296518b9edbf34498a5fcf6e43cb0c186d97134
{a126e117-05ad-466b-82d7-5f6355bb1a46},3,COMPLETED,2020-01-10T12:39:52.499Z,2020-01-10T12:47:21.169Z,master,9f5ec36c32355238e6dcba73a87c07ecf7865130
{8d3a4854-6a7f-4a79-859e-f2e6ff7250aa},4,COMPLETED,2020-01-15T18:02:52.944Z,2020-01-15T18:11:07.677Z,master,a45acb4e77301b3a62c719789c5965b387e27491
{db45df4e-44b5-4d11-91b1-1fa6262719ee},5,COMPLETED,2020-01-15T18:18:17.14Z,2020-01-15T18:31:29.139Z,master,dcc0deb1227174b0dd989570339f289d525dfe41
{9e136e55-85f3-42f9-8fc5-2cdfb7313007},6,COMPLETED,2020-01-15T18:52:27.911Z,2020-01-15T18:52:56.531Z,staging,dcc0deb1227174b0dd989570339f289d525dfe41
{fdde5373-7e57-45d0-9700-b39a1ab2e508},7,COMPLETED,2020-01-15T20:55:36.309Z,2020-01-15T20:59:34.209Z,master,1fb5fb08111b51856c46cf7baf0b56dd57788b4b
{259599da-9445-4fae-aae7-1331fef2967f},8,COMPLETED,2020-01-15T21:01:29.33Z,2020-01-15T21:06:19.803Z,staging,1fb5fb08111b51856c46cf7baf0b56dd57788b4b
{de110a51-c667-4749-b2c2-c65296a7e6a3},9,COMPLETED,2020-01-16T13:13:48.505Z,2020-01-16T13:28:13.14Z,production,1fb5fb08111b51856c46cf7baf0b56dd57788b4b
{09d5cfe2-427b-404f-a993-a357f2efd73f},10,COMPLETED,2020-01-16T13:39:21.695Z,2020-01-16T13:43:57.808Z,master,64d55df6e76d420d95adf833f93ec44a3d56da26
{476014b6-23cc-4a0f-a9e3-e2d9f25232f1},11,COMPLETED,2020-01-20T13:52:02.546Z,2020-01-20T13:56:46.369Z,master,c43c341f048b3ab61c05a8a7fd5582cf2d6ca51e
{022d4481-9084-44ba-b997-574299ec1d8f},12,COMPLETED,2020-01-22T15:29:23.934Z,2020-01-22T15:35:32.529Z,master,391f14ad5c051b37ae86b0263f05c2d76ce141b9
{8f687566-9cd8-4a2d-8ea4-816d33dd7e2e},13,COMPLETED,2020-01-22T17:37:08.022Z,2020-01-22T17:43:02.175Z,staging,391f14ad5c051b37ae86b0263f05c2d76ce141b9
{9b57b966-2e7b-4045-b6c4-0447b0a7c56c},14,COMPLETED,2020-01-22T18:39:00.784Z,2020-01-22T18:43:54.005Z,master,791aac59d1abb7ea9a55da424dd16d6f2b501181
{dea9c7bc-17a3-44a9-be5c-6049d1583851},15,COMPLETED,2020-01-22T19:53:00.717Z,2020-01-22T19:57:13.267Z,staging,791aac59d1abb7ea9a55da424dd16d6f2b501181
{3a309642-271a-400f-bae5-bb99b34bea7e},16,COMPLETED,2020-01-23T13:20:02.424Z,2020-01-23T13:24:50.088Z,staging,398b6849634536888559a06b7dc39b99f50bbdf8
{86eca3d9-e2ce-447a-81d0-395360cc206a},17,COMPLETED,2020-01-23T15:07:35.943Z,2020-01-23T15:13:31.333Z,staging,093a6fa71a3ef63f08c18a276142e52719a2fff8
{60d70163-3ac4-43fa-8620-e5f85607a113},18,COMPLETED,2020-01-27T17:31:25.87Z,2020-01-27T17:36:57.965Z,staging,f3299149dc724831b3958530ff949d445f89b801
{9bf5bce0-ddcd-47f6-9299-3eed50cdeaf0},19,COMPLETED,2020-01-27T21:21:33.396Z,2020-01-27T21:21:33.381Z,production,f3299149dc724831b3958530ff949d445f89b801
{81793590-181f-4ec3-ab6f-675f526545f1},20,COMPLETED,2020-01-27T21:26:32.792Z,2020-01-27T21:37:47.208Z,production,0706463d2d234875a9db4f866dca57d8bba276d7
{eb5c002e-5154-4f5f-ba5b-86431015e492},21,COMPLETED,2020-01-28T13:04:02.466Z,2020-01-28T13:08:30.85Z,staging,ec30e9f21622404588468bc56794a433d1f9f496
{9010c897-2288-4340-b070-b6216358048f},22,COMPLETED,2020-01-28T14:51:28.396Z,2020-01-28T14:57:06.451Z,staging,8196041fc706a0917df41b13352c428c1390e4b6
{1f533470-600b-4067-ac31-cb4ec328a858},23,COMPLETED,2020-01-28T17:40:03.519Z,2020-01-28T17:50:06.527Z,production,8196041fc706a0917df41b13352c428c1390e4b6
{a91ce698-e811-4a28-a635-77f63385c9f6},24,COMPLETED,2020-01-30T13:06:08.992Z,2020-01-30T13:11:25.178Z,master,9cfc520c86b90edc9b3de129e59c23f455897648
{bd9c474b-3d0f-458b-aa8e-80ef83d3210d},25,COMPLETED,2020-01-30T14:52:43.785Z,2020-01-30T14:57:34.179Z,master,5d9bae3ed096dd0f306e9506ac15981386e07cb1
{821223b9-aa5e-4d83-93e0-509bf927b4c1},26,COMPLETED,2020-01-30T17:41:42.116Z,2020-01-30T17:47:32.204Z,staging,5d9bae3ed096dd0f306e9506ac15981386e07cb1
{a7c2aa26-956a-4357-ba73-0d89a3fda421},27,COMPLETED,2020-01-30T20:45:17.418Z,2020-01-30T20:51:22.324Z,staging,26b3dbd1f70ff59e60a1cca743fa2c9c2c34fdf9
{c8f96168-3df2-4fe7-99a1-3e93d44a9a52},28,COMPLETED,2020-01-31T17:18:06.49Z,2020-01-31T17:23:17.936Z,staging,dd7a2589370c837b4fedcb849b01a35fb6e3b13d
{6a2e42aa-2674-40fc-ad67-42cba9d9a03e},29,COMPLETED,2020-01-31T19:58:58.435Z,2020-01-31T20:07:35.945Z,production,dd7a2589370c837b4fedcb849b01a35fb6e3b13d
{6d1f142d-a36d-4b7f-b582-7ac6b80a77f5},30,COMPLETED,2020-02-05T19:37:54.315Z,2020-02-05T19:43:05.936Z,staging,5bc2757c199293dcefc4538d7783696d7fe2cc0d
{c6fab106-1d90-470b-a1cb-fea72fb05ff2},31,COMPLETED,2020-02-05T23:26:01.312Z,2020-02-05T23:34:40.946Z,production,5bc2757c199293dcefc4538d7783696d7fe2cc0d
{0859f3a6-06c0-4014-93fa-0a25f813b1b7},32,COMPLETED,2020-02-07T13:35:07.836Z,2020-02-07T13:45:30.667Z,rails-update,2aee03242858b22bc9cf6e01f9a2fb154da01416
{67637192-09e8-42d5-a083-47d86c90c8d9},33,COMPLETED,2020-02-07T15:01:50.759Z,2020-02-07T15:07:29.153Z,rails-update,3a905666e5b32bcd36d4e0bad8c8af1accdd3360
{8bf589b2-371d-487c-a88e-0a7ff93b228c},34,COMPLETED,2020-02-10T14:34:24.297Z,2020-02-10T14:40:07.05Z,staging,0cca5cec7c0c4496c541d8dccb6200f59e74133c
{13ca2255-9df8-4732-9716-2bfec151c906},35,COMPLETED,2020-02-11T18:46:00.043Z,2020-02-11T18:50:54.53Z,staging,81dc4d282578f706cfc1e67f8abc14bb72668b34
{e59cca46-527c-4738-aed3-1fcb28c37f80},36,COMPLETED,2020-02-11T19:02:39.336Z,2020-02-11T19:13:55.283Z,staging,c562c1bce285b9be2f9bf12b2de5fff552895aeb
{094b6edc-d47c-4afd-9e38-93dd5d4afa01},37,COMPLETED,2020-02-11T20:08:15.006Z,2020-02-11T20:12:38.875Z,staging,85dcde2e2a27cf1cd407422724ffb10eca5ec403
{6ec6bc59-6efe-436c-a4f6-7090ae440f99},38,COMPLETED,2020-02-11T21:00:06.255Z,2020-02-11T21:00:51.407Z,staging,85dcde2e2a27cf1cd407422724ffb10eca5ec403
{65a52528-314c-4b37-8f66-718c64d6ab0c},39,COMPLETED,2020-02-11T21:15:51.769Z,2020-02-11T21:21:12.95Z,staging,f405a615bace44a27ed38d826f5c19ad21a4f005
{5e371602-4dbb-4b49-b14a-d8f0bc7ae886},40,COMPLETED,2020-02-11T21:21:29.152Z,2020-02-11T21:26:18.552Z,staging,ceddb0b82041234015e3b2be42d81c5d7a3cd0fe
{bbd44426-9247-4e96-8de0-01d9b7c7169c},41,COMPLETED,2020-02-12T13:42:53.117Z,2020-02-12T13:49:05.915Z,staging,498b1ec01f94d6ab4a73d28a9a0d5270192d2384
{022740fa-7253-48e3-8969-3215df08066f},42,COMPLETED,2020-02-12T15:00:58.845Z,2020-02-12T15:06:11.965Z,staging,2b8b82091bc188fd96d8e8dd2cb16b6428a6bab9
{9ef0f91b-febb-435e-aa3e-ef961e3858a1},43,COMPLETED,2020-02-12T18:42:04.878Z,2020-02-12T18:48:18.187Z,rails-update,8ce838802d5aec37defc4540bcaed5fed24b668d
{311caa39-e62d-4436-89f4-ed1bc875039b},44,COMPLETED,2020-02-12T18:47:20.613Z,2020-02-12T18:51:41.382Z,staging,7bf4a602e53cae00dd496820ea0efb7eee829c44
{8ddb708d-bab9-4a80-a18e-3670b321e2c3},45,COMPLETED,2020-02-14T14:14:50.327Z,2020-02-14T14:24:55.226Z,production,ef3c3fa80214611cf8ae1dd5b9ebe54bd936a358
{cb232a59-91a1-45e4-958b-baf82d7e63e9},46,COMPLETED,2020-02-14T15:37:23.637Z,2020-02-14T15:46:44.442Z,production,f6d776a31c53043d0654a37bbdd7d413fb147f69
{c68f654c-965e-470c-af54-b39ce5f14f26},47,COMPLETED,2020-02-14T15:38:58.314Z,2020-02-14T15:44:13.338Z,staging,f6d776a31c53043d0654a37bbdd7d413fb147f69
{96d425cd-8493-4403-a63c-72119772ca3c},48,COMPLETED,2020-02-14T15:47:55.73Z,2020-02-14T15:48:37.266Z,master,8ef38efd94bb2b306a68bf202fa1b2d823d25fc0
{e9834e59-dc41-49e2-91cd-96f5d7a349b5},49,COMPLETED,2020-02-14T16:52:19.304Z,2020-02-14T17:02:26.028Z,master,9664931b0cb95e8f9c99a5d67bab5d5bcf6acb34
{eab37883-b9ed-4d7d-90df-86841454fa15},50,COMPLETED,2020-02-14T20:16:36.168Z,2020-02-14T20:21:42.224Z,master,af4c8772175cc05c64d64214f1a8e74bd7325038
{e27e1ae1-ab9b-46c5-af10-66c8e7cb3ea2},51,COMPLETED,2020-02-17T16:13:24.928Z,2020-02-17T16:18:40.473Z,staging,8ca7ff343e110bab3e7e94f356349d921959ac62
{3f7837c5-7fed-4b3e-92fd-ae65b39f5b05},52,COMPLETED,2020-02-17T16:51:45.248Z,2020-02-17T16:57:40.145Z,master,fe225c8257cb3b90a6183c457fb49913f7123966
{f9e3ec23-90fb-420b-ae22-888cffc851e0},53,COMPLETED,2020-02-17T18:19:36.435Z,2020-02-17T18:24:25.737Z,staging,e0428e534e21bb1115da3de3a315cde9b742818e
{df6f71b3-d413-48cf-9b1c-7715425deb38},54,COMPLETED,2020-02-17T20:17:21.195Z,2020-02-17T20:22:36.029Z,master,f5ef511951e16b4c44f3d1a482e07680a2b7f538
{902f6cc6-4107-4f26-9464-ce019f2f77a9},55,COMPLETED,2020-02-17T20:49:00.7Z,2020-02-17T20:54:04.222Z,master,298d99e49486e4f6220dc02938b2193d43e34923
{daac45c0-3b21-425b-93de-e5ee043d5db6},56,COMPLETED,2020-02-18T16:34:30.002Z,2020-02-18T16:36:33.748Z,master,9649132567d867d6148114aa43334adc230b0fc1
{f4130666-2cc3-4d6a-a180-07833c690355},57,COMPLETED,2020-02-18T16:40:36.681Z,2020-02-18T16:46:07.571Z,master,f64e694efeb829bd86756a337711b70a67e2dfd5
{b3594342-be7f-4d96-b16e-35f94df9d971},58,COMPLETED,2020-02-18T17:03:34.534Z,2020-02-18T17:09:26.98Z,master,d3f4112dda2e024ccca5cde5eb3fe376493e72bf
{77c55db8-acfa-49e1-9326-ef2458cc3953},59,COMPLETED,2020-02-18T17:31:33.326Z,2020-02-18T17:37:51.025Z,master,692e4d26610af1342400c4604d2a9919d02330e1
{871f164c-e55b-4e3a-828d-67821a1f37a9},60,COMPLETED,2020-02-18T18:48:19.183Z,2020-02-18T18:54:05.338Z,master,0bf768171f33ec74b065a0a1a420c3a1af5d7bf2
{1f44cedd-8e76-4602-a33a-8875fcd833ca},61,COMPLETED,2020-02-18T19:10:00.332Z,2020-02-18T19:15:43.267Z,master,0c75f6cca36d33cd0e4dc617618e50a9a28a5cf9
{b72f985c-65be-4963-97eb-7ac188ac86ab},62,COMPLETED,2020-02-18T19:22:18.873Z,2020-02-18T19:27:12.453Z,master,68a49fc7ece7728990cfdcba792eed0ef0c22fb2
{8c9ecfbf-e95b-4b3e-a531-a8c2a186b853},63,COMPLETED,2020-02-19T00:34:34.184Z,2020-02-19T00:40:29.821Z,master,6bfb983bf964300d64dc7ce04ae335d2334f2d82
{6bcb9bcd-d0ab-4c2e-ab80-edea33f64600},64,COMPLETED,2020-02-19T00:47:07.122Z,2020-02-19T00:51:39.372Z,staging,6bfb983bf964300d64dc7ce04ae335d2334f2d82
{9801fa99-ba29-4ac8-ab5c-c2774b7fe084},65,COMPLETED,2020-02-19T17:16:38.185Z,2020-02-19T17:25:31.182Z,production,6bfb983bf964300d64dc7ce04ae335d2334f2d82
{38971666-86d3-4703-8f8d-62e416652917},66,COMPLETED,2020-02-19T18:31:48.932Z,2020-02-19T18:39:33.163Z,production,c331d52b40ab471f53e3d321f37ffbadad64dc11
{a24b77ff-9a28-4498-9270-065e19c78cdc},67,COMPLETED,2020-02-19T19:33:58.923Z,2020-02-19T19:41:57.695Z,production,95fc27f0d732877b9b274af29b54594f10947aeb
{dd889e7c-1149-45ab-9377-e3283975176c},68,COMPLETED,2020-02-19T19:34:28.369Z,2020-02-19T19:40:33.215Z,staging,95fc27f0d732877b9b274af29b54594f10947aeb
{440e2481-6b59-45b9-8efc-89ea13ef6c8f},69,COMPLETED,2020-02-20T11:34:52.798Z,2020-02-20T11:39:39.197Z,staging,3716057fc43045670fe1df8aa2a87408e4bfbd48
{4dc64335-4bae-4d3e-ad6e-9efec0a7b22e},70,COMPLETED,2020-02-20T13:37:55.204Z,2020-02-20T13:42:09.947Z,staging,4bab51094d0aa6df09fef439e9ed1dde1b774674
{3535f547-113c-43ee-b618-6cd9a6ddf6d4},71,COMPLETED,2020-02-20T13:46:47.328Z,2020-02-20T13:56:51.857Z,production,4bab51094d0aa6df09fef439e9ed1dde1b774674
{50286596-0589-4116-a1a4-27d89da321c3},72,COMPLETED,2020-02-20T17:18:27.308Z,2020-02-20T17:23:46.23Z,staging,ee3cb0e58ae94ec9e2b120c35f81853bdc9bf588
{acb9cb76-5843-4144-aa0b-b8ea9f231868},73,COMPLETED,2020-02-20T17:40:41.485Z,2020-02-20T17:53:52.278Z,production,ee3cb0e58ae94ec9e2b120c35f81853bdc9bf588
{229e67a0-fc48-4f81-a8ea-a0081de82722},74,COMPLETED,2020-02-20T18:44:18.858Z,2020-02-20T18:51:05.025Z,staging,29834c84882dea880030fdcb56a6057447d386f8
{ba3e138e-91de-4cc4-95f3-b0e23b0ff7fa},75,COMPLETED,2020-02-20T19:37:09.334Z,2020-02-20T19:49:42.241Z,production,29834c84882dea880030fdcb56a6057447d386f8
{de67485a-91e6-48b4-aaf4-4e6f8b48d64c},76,COMPLETED,2020-02-21T12:00:18.715Z,2020-02-21T12:05:29.659Z,staging,c9a76332d72c902020f16db37c4c1d6253266804
{846254a3-e1df-4ae3-a5d6-8798ce14c444},77,COMPLETED,2020-02-21T12:53:41.883Z,2020-02-21T12:57:51.488Z,staging,a0c9201a536616a6b6163ae3361a5b9d7a5601e1
